"PLANNING DU 1ER SEMESTRE 2017/2018 - MASTER MVA ","","","","","","","","","","","","","","","","","","","","","","","","",""
"A, D'Aspremont","M, Vazirgiannis","S Ladjal","L, Moisan","JM, Morel","","","","","","","","","","","","","","","","","","","","",""
"Salle Actes ENS Ulm","ENS Cachan salle Condorcet","Salle C109","Salle C103","Salle C103","","","","","","","","","","","","","","","","","","","","",""
"","16h15 - 19h15","13h30 - 17h00","16h15 - 18h15","16h00-18h00","","","","","","","","","","","","","","","","","","","","",""
"","Object Recognition and Computer 
 Vision","Introduction to Medical Image Analysis","TP-Sub-pixel Image Processing","Lecture Group: foundations and theory of mathematics for learning & vision","","","","","","","","","","","","","","","","","","","","",""
"","Ponce / Sivic","H Delingette","L, Moisan","V.Perchet","","","","","","","","","","","","","","","","","","","","",""
"","ENS Ulm Immeuble Rataud Amphi Galois","Salle C102","Salle C109","salle C102","","","","","","","","","","","","","","","","","","","","",""
"","16h00-18h00","","","","","","","","","","","","","","","","","","","","","","","",""
"","Lecture Group: foundations and theory of mathematics for learning & vision","","","","","","","","","","","","","","","","","","","","","","","",""
"","V.Perchet","","","","","","","","","","","","","","","","","","","","","","","",""
"","salle C103","","","","","","","","","","","","","","","","","","","","","","","",""
"semaine 47","","","","","","","","","","","","","","","","","","","","","","","","",""
"lundi 20 novembre 2017","mardi 21 novembre 2017","mercredi 22 novembre 2017","jeudi 23 novembre 2017","vendredi 24 novembre 2017","","","","","","","","","","","","","","","","","","","","",""
"10h00-12h30","08h45 - 10h45","09h00 - 12h00","09h00 - 12h15","09h00-13h00","","","","","","","","","","","","","","","","","","","","",""
"Parcimonie et Compressed
  Sensing","Introduction to Statistical Learning","Probabilistic Graphical Models","TP Introduction à l'imagerie numérique","Computational Statistics","","","","","","","","","","","","","","","","","","","","",""
"G, Peyre","N, Vayatis","Bach / Obozinski","Gousseau / Delon","S.Allassonnière","","","","","","","","","","","","","","","","","","","","",""
"ENS Ulm salle Henri Cartan","Salle Condorcet","Amphi Marie Curie","Telecom Salle C133","Salle Condorcet / TP C109","","","","","","","","","","","","","","","","","","","","",""
"10h30-12h30","11h00 -13h00","","","9h00-12h00","","","","","","","","","","","","","","","","","","","","",""
"Graphs in Machine Learning","TP Analyse topologique de données","","","Unsupervised learning: From big data to low-dimensional representations","","","","","","","","","","","","","","","","","","","","",""
"M, Valko","J.Tierny / F.Chazal","","","R. Vidal","","","","","","","","","","","","","","","","","","","","",""
"Salle Condorcet","Salle C109","","","Salle C315","","","","","","","","","","","","","","","","","","","","",""
"13h45-16h45","11h00 - 13h00","13h30 - 16h30","13h30 - 18h45","","","","","","","","","","","","","","","","","","","","","",""
"Discrete Inference and Learning","Reinforcement Learning","TP Optimisation et caractéristiques des minimiseurs. Application aux images.","Méthodes mathématiques pour les
  neurosciences","","","","","","","","","","","","","","","","","","","","","",""
"N.Paragios/Y.Tarabalka/K.Alahari","A, Lazaric","S Ladjal","Tanre / Veltz","","","","","","","","","","","","","","","","","","","","","",""
"CentraleSupélec Salle à confirmer","Salle Condorcet","Salle C109","Jussieu, salle à venir","","","","","","","","","","","","","","","","","","","","","",""
"","12h45 - 15h45","","","14h00 - 17h00","","","","","","","","","","","","","","","","","","","","",""
"","3D Computer Vision","","","The partial differential equations of image processing","","","","","","","","","","","","","","","","","","","","",""
"","","","","JM, Morel","","","","","","","","","","","","","","","","","","","","",""
"","R.Marlet","","","","","","","","","","","","","","","","","","","","","","","",""
"","Telecom salle C49","","","Salle C103","","","","","","","","","","","","","","","","","","","","",""
"14h00 -16h00","16h15 - 19h15","13h30 - 17h00","13h30 - 16h00","","","","","","","","","","","","","","","","","","","","","",""
"TP Analyse topologique de données","Object Recognition and Computer 
 Vision","Introduction to Medical Image Analysis","Sub-pixel Image Processing","","","","","","","","","","","","","","","","","","","","","",""
"","Ponce / Sivic","H Delingette","L, Moisan","","","","","","","","","","","","","","","","","","","","","",""
"J.Tierny / F.Chazal","","Salle C102","","","","","","","","","","","","","","","","","","","","","","",""
"Salle C109","ENS Ulm Immeuble Rataud Amphi Galois","","Salle C103","","","","","","","","","","","","","","","","","","","","","",""
"","16h00-18h00","","16h15 - 18h15","","","","","","","","","","","","","","","","","","","","","",""
"","Lecture Group: foundations and theory of mathematics for learning & vision","","TP-Sub-pixel Image Processing","","","","","","","","","","","","","","","","","","","","","",""
"","V.Perchet","","L, Moisan","","","","","","","","","","","","","","","","","","","","","",""
"","salle C103","","Salle C109","","","","","","","","","","","","","","","","","","","","","",""
"semaine 48","","","","","","","","","","","","","","","","","","","","","","","","",""
"lundi 27 novembre 2017","mardi 28 novembre 2017","mercredi 29 novembre 2017","jeudi 30 novembre 2017","vendredi 1 décembre 2017","","","","","","","","","","","","","","","","","","","","",""
"09h30 - 13h00","08h45 - 10h45","09h00 - 12h00","09h00 - 12h15","09h00-13h00","","","","","","","","","","","","","","","","","","","","",""
"FORUM DES STAGES","Introduction to Statistical Learning","Probabilistic Graphical Models","Introduction à l'imagerie numérique","Computational Statistics","","","","","","","","","","","","","","","","","","","","",""
"","N, Vayatis","Bach / Obozinski","Gousseau / Delon","S.Allassonnière","","","","","","","","","","","","","","","","","","","","",""
"ENS Cachan Hall Villon","Salle Condorcet","Amphi Marie Curie","Telecom Salle C49","Salle Condorcet / TP C109","","","","","","","","","","","","","","","","","","","","",""
"","11h00 - 15h00","","11h00 - 13h00","9h00-12h00","","","","","","","","","","","","","","","","","","","","",""
"","Advanced Learning for Text and
  Graph Data (ALTeGraD)","","Reinforcement Learning","Unsupervised learning: From big data to low-dimensional representations","","","","","","","","","","","","","","","","","","","","",""
"","M, Vazirgiannis","","A, Lazaric","R. Vidal","","","","","","","","","","","","","","","","","","","","",""
"","ENS Cachan amphi Curie","","Salle Condorcet","Salle C315","","","","","","","","","","","","","","","","","","","","",""
"10h30-12h30","11h00 -13h00","13h30 - 16h30","13h30 - 18h45","","","","","","","","","","","","","","","","","","","","","",""
"Graphs in Machine Learning","Analyse topologique de données","Optimisation et caractéristiques des minimiseurs. Application aux images.","Méthodes mathématiques pour les
  neurosciences","","","","","","","","","","","","","","","","","","","","","",""
"M, Valko","J.Tierny / F.Chazal","M. Nikolova","Tanre / Veltz","","","","","","","","","","","","","","","","","","","","","",""
"Salle Condorcet","Salle C103","Salle C103","Jussieu, salle à venir","","","","","","","","","","","","","","","","","","","","","",""
"14h00-16h00","12h45 - 15h45","","","","","","","","","","","","","","","","","","","","","","","",""
"TD Graphs in Machine Learning","3D Computer Vision","","","","","","","","","","","","","","","","","","","","","","","",""
"M, Valko","","","","","","","","","","","","","","","","","","","","","","","","",""
"","P.Monasse","","","","","","","","","","","","","","","","","","","","","","","",""
"Amphi Tocqueville ENS Cachan","Telecom salle C49","","","","","","","","","","","","","","","","","","","","","","","",""
"13h45-16h45","16h15 - 19h15","13h30 - 17h00","13h30 - 16h00","14h00 - 17h00","","","","","","","","","","","","","","","","","","","","",""
"Discrete Inference and Learning","Object Recognition and Computer 
 Vision","Introduction to Medical Image Analysis","Sub-pixel Image Processing","The partial differential equations of image processing","","","","","","","","","","","","","","","","","","","","",""
"N.Paragios/Y.Tarabalka/K.Alahari","Ponce / Sivic","H, Delingette","L, Moisan","JM, Morel","","","","","","","","","","","","","","","","","","","","",""
"CentraleSupélec Salle à confirmer","ENS Ulm Immeuble Rataud Amphi Galois","Salle C102","Salle C103","Salle C103","","","","","","","","","","","","","","","","","","","","",""
"","16h00-18h00","","16h15 - 18h15","15h00-17h00","","","","","","","","","","","","","","","","","","","","",""
"","Lecture Group: foundations and theory of mathematics for learning & vision","","TP-Sub-pixel Image Processing","Lecture Group: foundations and theory of mathematics for learning & vision","","","","","","","","","","","","","","","","","","","","",""
"","V.Perchet","","L, Moisan","V.Perchet","","","","","","","","","","","","","","","","","","","","",""
